Job Title,Company Name,Experience Required,Job Type,Job Description,Days Ago,Job URL
Senior Manager Data Scientist -Banking Domain,DATASPARK HIRE,10 to 15 Yrs,Full time,"Job Title: Mid-Senior Level Data Scientist in Banking with 10-15 years Experience:

Job Description

Position Overview:

We are looking for a highly experienced Mid-Senior Level Data Scientist with 10-15 years of Experience to join our Data Analytics team. The ideal candidate will have deep knowledge of data science methodologies, extensive experience in developing and deploying advanced models, and a proven track record of solving complex problems in the banking sector.

Key Responsibilities
 Strategic Data Analysis: Lead the analysis of large, complex datasets to generate strategic insights and identify trends, patterns, and anomalies critical to banking operations and decision-making.
 Model Development & Deployment: Design, develop, and deploy advanced predictive models and algorithms using sophisticated statistical and machine learning techniques to drive business outcomes and innovation.
 Data Governance & Strategy: Develop and implement data governance frameworks, ensuring data quality, integrity, security, and compliance with regulatory standards.
 Innovative Data Solutions: Evaluate and implement cutting-edge technologies and methodologies to enhance data analytics capabilities and drive business growth.
 Cross-Functional Collaboration: Lead cross-functional initiatives, partnering with IT, marketing, finance, risk management, and other departments to develop and execute data-driven strategies that align with organizational goals.
 Mentorship & Development: Mentor and guide junior data scientists and analysts, fostering a culture of continuous learning, collaboration, and innovation.
 Reporting & Presentation: Prepare and deliver detailed reports and presentations on analytical findings, model performance, and strategic recommendations to senior management and other key stakeholders.
 Continuous Improvement: Stay current with industry trends, advancements in data science, and emerging technologies, continuously seeking opportunities to enhance analytical capabilities and drive business value.

Required Qualifications
 Education: Bachelors degree in Data Science, Computer Science, Statistics, Mathematics, or a related field. A Masters or PhD degree is highly preferred.
 Experience: 10-15 years of hands-on experience in data science, with a significant portion in the banking or financial services industry.
 Technical Skills:
 Expert proficiency in programming languages such as Python, R, or SQL.
 Extensive experience with data visualization tools like Tableau, Power BI, or Matplotlib.
 Deep expertise in machine learning frameworks and libraries such as scikit-learn, TensorFlow, or PyTorch.
 Strong understanding of database management systems, data warehousing solutions, and big data technologies.
 Analytical Skills: Superior analytical and problem-solving skills with the ability to interpret complex data and draw actionable insights.
 Communication Skills: Exceptional written and verbal communication skills, with the ability to effectively present complex technical information to non-technical stakeholders and executive leadership.

Preferred Qualifications
 Domain Knowledge: Comprehensive understanding of banking processes, products, regulatory requirements, and industry trends.
 Certifications: Relevant certifications such as Certified Data Scientist, Certified Analytics Professional, or equivalent.
 Project Management: Proven experience in leading and managing large-scale data science projects and cross-functional teams.
 Soft Skills: Strong strategic thinking, attention to detail, proactive approach, and ability to work independently and as part of a team in a dynamic environment,",6,https://www.shine.com/jobs/senior-manager-data-scientist-banking-domain/dataspark-hire/16509019
Deputy General Manager - Data Science,Tata Communications,12 to 16 Yrs,Full time,"Role: DGM - Data Scientist

Position overview

Work in an innovative and fast paced AI application development team to conceptualize and execute projects to leverage the power of AI/ML and analytics. The work will be related to producing business outcomes for Cloud and Cybersecurity products and services of Novamesh, a wholly owned subsidiary of Tata Communications Ltd.

Success in this role requires a mix of data science skills, appreciation of the business, and ability to work across teams. A special focus area of this role would be to identify and execute ideas for creating monetizable product differentiators by working with Domain Experts from individual product teams and acquire domain skills in the process.

Detailed job description
 Develop, Test, and Deploy ML/AI models for various products
 Overall Min 12 Years of experience and goodexperience with demonstratable outcomes in field of Data Science
 Perform data preprocessing, feature engineering and ML/DL model evaluation
 Optimize and fine-tune models for performance and scalability
 Good understanding of Statistical, ML, AI models
 Good understanding of NLP concepts and projects involving entity recognition, text classification, and language modelling like GPT
 Build and refine RAG models to improve information retrieval and answer generation.
 Integrate RAG methods into existing applications to enhance data accessibility and user experience.
 Work closely with cross-functional teams including software engineers, product managers, and domain experts.
 Document processes, methodologies, and model development for internal and external stakeholders.
 Go-getter attitude and will to Make it happen""

Qualification and Skills
 Bachelor or Masters degree in Computer Science, Data Science, Statistics, Mathematics, or a related field from reputed institutions.
 Strong knowledge of probability and statistics.
 Expertise in machine learning and deep learning skills
 Hand on experience with GenAI, LLMs and SLMs
 Strong programming skills
 Python, PyTorch, Sci-kit, NumPy, Gen AI tools like langchain/llamaIndex , OpenAI
 SQL, flat file DB, Datalakes, data stores, data frames (Pandas, Cudf etc.)
 Working knowledge of MLOPs principles and implementing projects with Big Data in batch and streaming mode.
 Good knowledge of Data Engineering and working knowledge of the same
 Excellent problem-solving skills and a proactive attitude.
 Excellent communication skills and teamwork abilities.,",6,https://www.shine.com/jobs/deputy-general-manager-data-science/tata-communications/16512162
Data Scientist  Health Data Analysis & Custom Model Dev ...,Offshore Software Solutions,3 to 7 Yrs,Full time,"Job Title: Data Scientist  Health Data Analysis & Custom Model Development

Location: Onsite  Mohali, Punjab

Company: Offshore Software Solutions

Job Type: Full-Time

Job Description:

Offshore Software Solutions is seeking a highly skilled Data Scientist with 3-5 years of experience, specializing in analyzing data from health devices such as smartwatches, fitness trackers, and other wearables. The ideal candidate should have expertise in developing custom machine learning models using TensorFlow, with a goal of generating actionable insights to enhance health monitoring and user well-being.

As part of our team, you will work on transforming raw data from health devices into meaningful insights, improving model accuracy and performance through continuous iteration. You will collaborate closely with cross-functional teams to ensure models and analyses align with business goals.

Key Responsibilities:
 Analyze and interpret health data collected from wearables and smart devices, including metrics such as heart rate, sleep patterns, physical activity, and more.
 Develop, train, and deploy custom machine learning models using TensorFlow, targeting specific health insights and predictions.
 Collaborate with data engineers and product teams to ensure data is properly collected, processed, and utilized for model development.
 Perform data preprocessing, including handling missing data, normalization, and feature engineering to prepare datasets for modeling.
 Ensure compliance with privacy standards and handle sensitive health data securely.
 Continuously evaluate and optimize models for accuracy, integrating new data and improving algorithms.
 Present findings and model outcomes through data visualizations and reports for both technical and non-technical stakeholders.
 Stay updated on the latest research in machine learning, particularly as it applies to health data from wearable devices.

Required Skills & Qualifications:
 Bachelor's or Masters degree in Data Science, Computer Science, Mathematics, Statistics, or a related field.
 3+ years of experience in data analysis, particularly in analyzing data from smart devices or wearables.
 Proven experience in building and deploying machine learning models using TensorFlow.
 Strong understanding of deep learning and neural networks, including CNNs and RNNs.
 Proficiency in Python, R, and related data science libraries (e.g., Pandas, NumPy, SciPy).
 Familiarity with working on health data metrics such as heart rate, step count, or sleep quality.
 Experience in data visualization tools like Tableau, Power BI, or Matplotlib.
 Proficient in working with databases, including SQL and NoSQL databases.
 Strong problem-solving abilities and ability to interpret health-related data accurately.

Preferred Qualifications:
 Experience working with wearable device APIs (e.g., Fitbit, Apple Health, Garmin).
 Understanding of time-series analysis for health data and techniques for anomaly detection in physiological metrics.
 Experience in edge computing for real-time data analysis from health devices.
 Good communication skills with the ability to work effectively in a collaborative environment.,",4,https://www.shine.com/jobs/data-scientist-health-data-analysis-custom-model-development/offshore-software-solutions/16522845
Crypto Data Scientist / Machine Learning Engineer,Ziphire HR,3 to 7 Yrs,Full time,"We are seeking a highly skilled Crypto Data Scientist with expertise in machine learning to join our dynamic team. In this role, you will leverage your analytical skills to analyze cryptocurrency data, develop predictive models, and provide actionable insights that drive strategic decisions. You will work closely with cross-functional teams to enhance our data-driven approach in the rapidly evolving crypto market.

Key Responsibilities
 Data Analysis: Analyze large datasets related to cryptocurrencies to identify trends, patterns, and anomalies that inform business strategies
 Machine Learning Model Development: Design, develop, and implement machine learning algorithms to predict market movements and optimize trading strategies
 Blockchain Insights: Utilize knowledge of blockchain technology to extract valuable insights from blockchain data and enhance data analysis processes
 Statistical Analysis: Apply statistical methods to interpret data and validate model performance, ensuring accuracy and reliability in predictions
 Collaboration: Work collaboratively with product managers, software engineers, and other stakeholders to define project requirements and deliver solutions that meet business needs
 Documentation: Maintain comprehensive documentation of data processes, model development, and analytical findings for transparency and reproducibility
 Continuous Improvement: Stay updated with the latest trends in cryptocurrency, machine learning, and data science methodologies to enhance analytical capabilities

Requirements

Required Qualifications
 Bachelor's or Master's degree in Data Science, Computer Science, Statistics, or a related field
 3+ years of experience in data science or machine learning roles, preferably within the cryptocurrency or financial sectors
 Proficiency in programming languages such as Python, R, and SQL for data manipulation and analysis
 Strong understanding of machine learning algorithms and frameworks (e.g., TensorFlow, scikit-learn)
 Familiarity with blockchain technology and its implications for data analysis

Preferred Qualifications
 Experience with data visualization tools (e.g., Tableau, Power BI) to present findings effectively
 Knowledge of statistical analysis techniques and their application in real-world scenarios
 Excellent communication skills with the ability to convey complex technical concepts to non-technical stakeholders

Benefits

What We Offer
 Competitive salary and comprehensive benefits package
 Flexible working hours with a fully remote work model
 Opportunities for professional development and career advancement within a supportive environment
 A collaborative culture that values innovation, creativity, and teamwork,",5,https://www.shine.com/jobs/crypto-data-scientist-machine-learning-engineer/ziphire-hr/16515131
Data Scientist Analyst,Chase- Candidate Experience page,5 to 9 Yrs,Full time,"Become an integral part of our Data Scientist team! Each day will be unique  bring a positive attitude, entrepreneurial spirit and get ready to roll up your sleeves. This position is an essential part of the team and will have exposure to several aspects of running a banking office.

Job Summary:

As a part of Data & Analytics team is the engine that powers JPMorgan Chase with insights to create competitive advantages for our business and deliver value for our customers. We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and data governance. Within this organization, the Data Sciences team leverages industry-leading data-driven techniques to convert data into meaningful insights.

The industry is rapidly changing and JPMorgan Chase is transforming our wealth management business to accelerate growth. We are looking for talented data scientists to help execute our analytic strategies for the newly formed JPMorgan Wealth Management (JPMWM) business unit which includes Chase Wealth Management, JP Morgan Advisors, and the You Invest digital platforms. This role will be central in understanding investment customers financial needs and their interactions with our products, services, channels and Advisors.

Job Responsibilities
 Searching for collections of behaviors and events that individually are innocuous but collectively indicate a likely next action in order to enable timely, relevant outreach
 Analyzing drivers of advisor performance to understand the relative impact of opportunity, behaviors, and effectiveness on acquisition and deepening outcomes
 Predicting a segments unique financial needs within the first 3 months on book to improve engagement and deepening with new clients
 Overlaying customer and channel behaviors across our local markets and branch footprint to determine how to optimize in-person and remote staffing
 Providing expertise as to how data visualization, algorithms, machine learning, and text analytics/NLP can be leveraged to optimize sales performance
 Creating self-serve tools to access real-time information
 Identifying potential attrition events and determining how early the prediction needs to be made for any counteraction to be effective

Required qualifications, capabilities, and skills:
 Bachelors / Master's Degree in Mathematics, Statistics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic field with 5 - 9 years of data science / Quant analytics experience
 Expertise in SAS / Python programming to develop advanced analytical techniques
 Experience in wrangling large, complex datasets, strong database skills and ability to write, optimize and tune complex SQL scripts
 Experience in solving business problems through fact-based and scientific analytics, like to focus on solving problems
 Ability to think both independently and collaboratively to implement creative solutions that solve business problems, being diligent in the detail while maintaining focus on broader purpose and business objectives
 Recognize the stories in the data and tell them in ways that illuminate which customers are likely to do what next
 Comfortable summarizing key information and presenting recommendations to multiple stakeholders to influence senior management

Preferred qualifications, capabilities, and skills:
 Familiarity in an insights function at a financial services firm, consulting firm, or a marketing agency
 Experience in a workforce analytics, sales performance analytics, or sales science organization
 Expertise of big data disciplines, Agile (scrum) methodologies, and new technologies,",6,https://www.shine.com/jobs/data-scientist-analyst/chase-candidate-experience-page/16507315
Group Manager -  Data Scientist - Banking Domain,DATASPARK HIRE,15 to 19 Yrs,Full time,"Job Title: VP/Director of Data Scientist with over 15+ years of experience:

Job Description

Position Overview:

We are looking for an accomplished VP/Director of Data Scientist with 15+ years of experience to lead our Data Science team. The ideal candidate will have a profound understanding of data science methodologies, extensive experience in developing and deploying advanced models, and a proven track record of strategic leadership in the banking sector.

Key Responsibilities
 Strategic Leadership: Provide visionary leadership in the development and execution of the organizations data science strategy, driving innovation and excellence across all data-driven initiatives.
 Advanced Analytics & Modeling: Oversee the design, development, and deployment of sophisticated predictive models and algorithms using cutting-edge statistical and machine learning techniques to solve complex business challenges and drive strategic decision-making.
 Data Governance & Compliance: Develop and implement robust data governance frameworks, ensuring data quality, integrity, security, and compliance with industry regulations and best practices.
 Innovation & Technology: Identify, evaluate, and implement emerging technologies and methodologies to enhance the organizations data analytics capabilities and maintain a competitive edge.
 Cross-Functional Leadership: Lead and collaborate with cross-functional teams, including IT, marketing, finance, risk management, and other departments, to develop and execute data-driven strategies that align with organizational goals.
 Thought Leadership: Serve as a thought leader in data science, representing the organization at industry conferences, contributing to academic publications, and driving the adoption of best practices and emerging trends.
 Team Development: Build, mentor, and lead a high-performing team of data scientists and analysts, fostering a culture of continuous learning, collaboration, and innovation.
 Executive Reporting: Prepare and deliver comprehensive reports and presentations on analytical findings, model performance, and strategic recommendations to the executive leadership team and other key stakeholders.
 Continuous Improvement: Stay current with industry trends, advancements in data science, and emerging technologies, continuously seeking opportunities to enhance analytical capabilities and drive business value.

Required Qualifications
 Education: Bachelors degree in Data Science, Computer Science, Statistics, Mathematics, or a related field. A Masters or PhD degree is highly preferred.
 Experience: Over 15 years of hands-on experience in data science, with significant experience in the banking or financial services industry.
 Technical Skills:
 Expert proficiency in programming languages such as Python, R, or SQL.
 Extensive experience with data visualization tools like Tableau, Power BI, or Matplotlib.
 Deep expertise in machine learning frameworks and libraries such as scikit-learn, TensorFlow, or PyTorch.
 Strong understanding of database management systems, data warehousing solutions, and big data technologies.
 Analytical Skills: Exceptional analytical and problem-solving skills with the ability to interpret complex data and draw actionable insights.
 Communication Skills: Outstanding written and verbal communication skills, with the ability to effectively present complex technical information to non-technical stakeholders and executive leadership.

Preferred Qualifications
 Domain Knowledge: Comprehensive understanding of banking processes, products, regulatory requirements, and industry trends.
 Certifications: Relevant certifications such as Certified Data Scientist, Certified Analytics Professional, or equivalent.
 Project Management: Extensive experience in leading and managing large-scale data science projects and cross-functional teams.

Leadership Skills: Strong strategic thinking, attention to detail, proactive approach, and ability to work independently and as part of a team in a dynamic environment,",6,https://www.shine.com/jobs/group-manager-data-scientist-banking-domain/dataspark-hire/16509995
Senior Data Scientist - Credit Risk,Yubi,3 to 7 Yrs,Full time,"About Us

Yubi stands for ubiquitous. But Yubi will also stand for transparency, collaboration, and the power of possibility.

From being a disruptor in Indias debt market to marching towards global corporate markets from one product to one holistic product suite with seven products

Yubi is the place to unleash potential. Freedom, not fear. Avenues, not roadblocks. Opportunity, not obstacles.

Role : Senior Data Scientist

Experience: 3 to 5 years

About the Role:

We seek a skilled Senior Data Scientist to join our team in building a cutting-edge Credit Risk Machine Learning platform. This platform delivers sophisticated credit scoring models and transparent explanations behind each score to support clients"" credit monitoring and management activities.

As a Senior Data Scientist, you will be key in designing, developing, and deploying machine learning models that assess credit risk, ensuring high accuracy, interpret ability, and compliance with regulatory requirements. Your experience in machine learning, credit risk modelling, and strong Python programming skills will be crucial in driving innovation and business value for our clients.

Key Responsibilities:

Build and develop credit risk models to assess credit risk, ensuring high accuracy and explainability of the models to comply with regulatory frameworks and requirements.

Lead the development of a machine learning platform that empowers clients to build and customize their own credit risk models, enabling more tailored risk management solutions.

Align data solutions with business objectives and technical constraints, adapting to the evolving market dynamics, regulatory landscape and client requirements.

Work closely with cross-functional teams, including data engineering, product management, and business teams, to manage and lead various aspects of the product lifecycle, from conception to delivery.

Monitor model performance and maintain risk management protocols by retraining models as needed, ensuring ongoing accuracy and regulatory compliance.

Stay updated on industry trends, regulations, and emerging technologies to improve the models continuously and the platform.

Provide mentorship and guidance to junior data scientists and engineers within the team.

Required Skills:

Technical Skills

In-depth understanding of machine learning algorithms (supervised, unsupervised, ensemble methods) and their application to credit risk.

Expertise in statistical analysis, including hypothesis testing, regression analysis, probability theory, and data modelling techniques, to extract insights and validate machine learning models.:

Experience in designing, developing, and delivering end-to-end data products and solutions.

Expertise in model explain ability techniques (e.g. SHAP, LIME) and regulatory compliance for risk models.

Strong proficiency in Python and working knowledge of PySpark.

Proficiency in building and deploying models on cloud platforms (AWS).

Experience with NLP techniques is good to have.

Domain Skills:

Ability to collaborate with finance and risk teams to ensure model outputs align with business objectives and regulatory requirements.

Basic understanding of credit risk management processes, including credit scoring, default probability estimation, and financial regulations.

Basic working knowledge of finance and credit risk concepts, such as loan performance metrics, creditworthiness, and risk mitigation strategies.

Familiarity with key financial instruments, regulatory frameworks (e.g., Basel III, IFRS 9), and their impact on risk assessment models.

Education and Experience:

Bachelors/Advanced degree in Data Science, Statistics, Mathematics, Computer Science, or a related field.

3 to 5 years of experience in the data science and machine learning domain

Experience in the financial sector or credit risk management is a bonus.,",6,https://www.shine.com/jobs/senior-data-scientist-credit-risk/yubi/16512509
Senior Data Scientist - Machine Learning/Generative AI,ElementSkill,3 to 7 Yrs,Full time,"Job Overview

We are seeking a highly skilled and experienced Senior Data Scientist who possesses a robust understanding of both traditional machine learning (ML) methodologies and innovative Generative AI techniques. This role is crucial for leveraging data to drive business decisions and enhance operational efficiencies. The ideal candidate will be adept at tackling complex data challenges and will have strong capabilities in model optimization, scalability, and MLOps practices. This expertise is essential to ensure seamless deployment, continuous monitoring, and effective management of machine learning models in production environments. By leading AI/ML initiatives, the Senior Data Scientist will play a key role in driving innovation and delivering significant value through the power of data and artificial intelligence.

Technical Skills
 Machine Learning Expertise : The candidate should demonstrate proven experience in traditional machine learning techniques, including but not limited to regression, classification, decision trees, and ensemble methods. Additionally, a strong grasp of Generative AI models, such as GPT, BERT, Variational Autoencoders (VAEs), and Generative Adversarial Networks (GANs), is essential.
 Model Optimization : A deep understanding of model optimization techniques is required, including quantization, pruning, and distillation. The candidate should be skilled in designing scalable architectures for AI/ML models, ensuring that they can handle varying data volumes and complexity while maintaining performance.
 Proficiency in MLOps : The role demands proficiency in MLOps tools and frameworks, such as MLflow, Kubeflow, Apache Airflow, and TensorFlow Extended. Familiarity with cloud platforms such as AWS, Google Cloud Platform (GCP), and Microsoft Azure for deploying machine learning models is critical for this position.
 Programming Skills : Strong programming skills in Python are essential, along with experience using machine learning and deep learning frameworks like TensorFlow, PyTorch, scikit-learn, and Hugging Face. The candidate should be comfortable writing efficient code and developing complex algorithms.
 Data Engineering Experience : Experience with data engineering pipelines and big data technologies is required. Familiarity with tools and frameworks such as Apache Spark and Hadoop, along with proficiency in databases (SQL and NoSQL), will be beneficial for the role.

Soft Skills
 Problem-Solving Ability : The successful candidate must possess strong problem-solving skills and demonstrate the ability to work both independently and collaboratively within a fast-paced, dynamic environment. Adaptability and resourcefulness are key to navigating challenges effectively.
 Communication Skills : Excellent communication skills are crucial, particularly the ability to explain complex technical concepts clearly to both technical and non-technical stakeholders. The role will require conveying insights and recommendations based on data analysis in a manner that is accessible to diverse audiences.
 Leadership and Mentoring : Proven leadership experience is important, as the candidate will be responsible for mentoring junior team members and guiding them in their professional development. The ability to drive strategic AI/ML projects and motivate the team is essential for success.

Preferred Qualifications
 Educational Background : A Bachelor's or Master's degree in Computer Science, Data Science, Mathematics, or a related field is preferred, as it provides a strong foundation for the technical skills required in this role.
 Experience : Candidates should have a minimum of 3+ years of experience working on machine learning projects, particularly with traditional ML methods. Experience in deploying solutions in a cloud environment is highly advantageous.
 Business Acumen : Familiarity with business problem-solving techniques and the ability to create impactful insights through data analytics is essential. The candidate should be able to translate data findings into actionable business strategies.
 Cloud Platform Familiarity : Familiarity with cloud platforms such as AWS, Azure, or Google Cloud for ML deployment is highly desirable, enabling the candidate to utilize cloud-native features and tools effectively.

(ref:hirist.tech),",6,https://www.shine.com/jobs/senior-data-scientist-machine-learning-generative-ai/elementskill/16513485
ML Engineer/ Data Scientist || 5 to 8 Years,Innova ESI,3 to 8 Yrs,Full time,"Company Description

InnovaESI is a leading IT partner firm focused on providing digital transformation through end-to-end data solutions with a global presence in USA, Canada, Mexico, India, and Singapore. We empower businesses with innovative and sustainable IT solutions that drive digital transformation and enhance business operations. Our holistic approach and commitment to top-quality and cost-effective services set us apart in the industry.

Role Description

This is a full-time hybrid role for a ML Engineer/Data Scientist at Innova ESI in Bengaluru. The role involves working on pattern recognition, neural networks, algorithms, and utilizing statistical methods to deliver end-to-end data solutions. While the primary location is in Bengaluru, there is flexibility for some remote work.

Qualifications
 Strong background in Computer Science and Algorithms
 Proficiency in Pattern Recognition and Neural Networks
 Knowledge of Statistics and its application in data analysis
 Experience working with complex algorithms and data models
 Ability to collaborate in cross-functional teams and communicate effectively
 Advanced degree in Computer Science, Data Science, or related field

 Deep understanding of machine learning and NLP combined with commercial experience in building and deploying LLM solutions.

 Relevant experience 4-8 years

 Exceptional coding ability, preferably in Python.

 Familiarity with ML tools and libraries like TensorFlow, PyTorch, pandas, scikit-learn, etc.

 Strong understanding of MLOps best practices with experience in deploying LLM applications to production at scale.

 Problem solver & self starter. You love tackling difficult problems and finding the best solution and can do that both independently and in a collaborative team environment.
  Strong communication skills to articulate complex technical concepts to non-technical stakeholders.
 Experience- 3 to 8 Years

Please share resume on below mail id

hidden_email,",4,https://www.shine.com/jobs/ml-engineer-data-scientist-5-to-8-years/innova-esi/16521375
Data Scientist (Computer Vision),Thoucentric,3 to 7 Yrs,Full time,"About Us

Thoucentric is the Consulting arm of Xoriant, a prominent digital engineering services company with 5000+ employees. We are headquartered in Bangalore with presence across multiple locations in India, US, UK, Singapore & Australia Globally.

As the Consulting business of Xoriant, We help clients with Business Consulting, Program & Project Management, Digital Transformation, Product Management, Process & Technology Solutioning and Execution including Analytics & Emerging Tech areas cutting across functional areas such as Supply Chain, Finance & HR, Sales & Distribution across US, UK, Singapore and Australia. Our unique consulting framework allows us to focus on execution rather than pure advisory. We are working closely with marquee names in the global consumer & packaged goods (CPG) industry, new age tech and start-up ecosystem. Xoriant (Parent entity) started in 1990 and is a Sunnyvale, CA headquartered digital engineering firm with offices in the USA, Europe, and Asia. Xoriant is backed by ChrysCapital, a leading private equity firm. Our strengths are now combined with Xoriants capabilities in AI & Data, cloud, security and operations services proven for 30 years.

We have been certified as ""Great Place to Work"" by AIM and have been ranked as ""50 Best Firms for Data Scientists to Work For"".

We have an experienced consulting team of over 450+ world-class business and technology consultants based across six global locations, supporting clients through their expert insights, entrepreneurial approach and focus on delivery excellence. We have also built point solutions and products through Thoucentric labs using AI/ML in the supply chain space.

Job Description

We are seeking an experienced Computer Vision/ML Engineer to join our team focused on machine vision problems. As a Computer Vision/ML Engineer, you will play a crucial role in developing and implementing cutting-edge computer vision algorithms to ensure the highest quality standards for our products.

Responsibilities:
 Develop and implement computer vision and machine learning algorithms to detect and classify defects in manufacturing facility
 Preprocess and augment project datasets.
 Stay up to date with the latest research and advancements in computer vision and machine learning related to defect detection and classification.
 Optimize and fine-tune existing computer vision models to achieve high accuracy and efficiency in classification.
 Conduct thorough experiments and evaluate the performance of models using appropriate metrics and benchmarks.
 Research and develop innovative solutions to address challenges in solving the problem.
 Work closely with software engineers to integrate the models into final production systems.

Requirements
 Bachelors or Masters degree in Computer Science, Electrical Engineering, or a related field.
 3-4 years of professional experience in computer vision and machine learning, with a focus on object detection and classification.
 Strong knowledge of computer vision fundamentals, including image preprocessing, feature extraction, object detection, and image segmentation.
 Proficient in Python.
 Experience with deep learning frameworks such as TensorFlow or PyTorch.
 Familiarity with data augmentation techniques, filtering, and contour extraction.
 Knowledge of state-of-the-art computer vision models and techniques applicable to defect detection and classification tasks.
 Strong problem-solving skills and the ability to work independently and as part of a team.
 Excellent communication and collaboration skills.

Preferred Qualifications:
 Experience working on projects related to quality control or inspection in manufacturing environments.
 Familiarity with industrial imaging systems and techniques.
 Understanding of parallel computing and GPU optimization for accelerated model training and inference.

Benefits
 Opportunity to define your career path and not as enforced by a manager
 A great consulting environment with a chance to work with Fortune 500 companies and startups alike.
 A dynamic but relaxed and supportive working environment that encourages personal development.
 Be part of One Extended Family. We bond beyond work - sports, get-togethers, common interests etc. Work in a very enriching environment with Open Culture, Flat Organization and Excellent Peer Group.
 Be part of the exciting Growth Story of Thoucentric!

Required Skills

computer vision

object detection

+2

Practice Name

Data Science

Work Mode

Hybrid

Industry

Consulting

Corporate Office

Thoucentric, The Hive, Mahadevapura

Zip/Postal Code

560048

City

Bangalore North

Country

India

State/Province

Karnataka,",2,https://www.shine.com/jobs/data-scientist-computer-vision/thoucentric/16532290
